"seed_base","condition","contaminated_batches","UCL","total_batches","false_alarms","FAR","ARL0","ARL0_CI95_low","ARL0_CI95_high"
2026,"limpia",0,19.6928514338751,2e+05,125,0.000625,1600,1342.89603379661,1922.17314919057
20000,"limpia",0,19.6928514338751,2e+05,160,8e-04,1250,1070.6503514812,1468.76844429504
40000,"limpia",0,19.6928514338751,2e+05,145,0.000725,1379.31034482759,1172.23119200746,1634.52307162029
60000,"limpia",0,19.6928514338751,2e+05,145,0.000725,1379.31034482759,1172.23119200746,1634.52307162029
80000,"limpia",0,19.6928514338751,2e+05,154,0.00077,1298.7012987013,1109.05152243207,1530.94770238885
2026,"contaminada",6,19.6928514338751,2e+05,140,7e-04,1428.57142857143,1210.61351844192,1698.21711744855
20000,"contaminada",6,19.6928514338751,2e+05,145,0.000725,1379.31034482759,1172.23119200746,1634.52307162029
40000,"contaminada",6,19.6928514338751,2e+05,142,0.00071,1408.45070422535,1194.95673817366,1672.16507894831
60000,"contaminada",6,19.6928514338751,2e+05,131,0.000655,1526.71755725191,1286.587634605,1826.00342315963
80000,"contaminada",6,19.6928514338751,2e+05,148,0.00074,1351.35135135135,1150.37047202367,1598.506142119
