"composition","label","healthy_runs","faulty_runs","det_rob","det_cls","fa_rob","fa_cls","t2_rob_faulty_min","t2_cls_faulty_median","cls_near_ucl"
1,"publicada","25|26|27|28|29|30|31|32|33|34","7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26",20,2,0,0,43.2836451845274,11.4672996387757,6
2,"sorteo_01","69|132|135|145|188|200|245|318|371|413","18|85|116|235|293|296|306|318|320|350|355|360|363|375|388|400|408|409|444|483",20,5,0,0,31.8329568834323,14.1608973294601,7
3,"sorteo_02","36|59|66|124|197|283|288|328|341|346","74|107|139|163|207|227|239|241|242|258|312|326|331|333|344|367|388|417|451|454",20,2,0,0,41.7794634278718,11.2416978488384,6
4,"sorteo_03","160|204|215|283|297|341|375|417|437|455","10|37|71|76|85|108|111|222|227|261|270|307|326|342|364|370|415|426|446|460",20,3,0,0,54.0994395394934,16.4479491491436,12
5,"sorteo_04","108|126|137|203|276|281|297|303|381|393","36|91|103|110|154|161|179|265|283|297|315|359|409|416|426|434|439|469|475|491",20,0,0,0,41.8475915151833,10.0037357197342,4
6,"sorteo_05","52|57|130|138|149|300|301|318|332|490","19|40|65|95|114|126|149|175|202|215|235|280|283|295|306|319|335|418|441|478",20,3,0,0,38.5086861963386,13.2916115510493,7
7,"sorteo_06","117|226|250|251|258|329|357|378|466|467","8|20|44|59|102|114|168|178|187|190|228|293|315|320|321|330|332|345|347|350",20,2,0,0,49.3824740561394,12.5190508050463,5
8,"sorteo_07","28|41|252|336|368|379|408|431|455|498","21|28|44|69|73|76|134|156|217|243|246|259|267|281|291|295|385|396|401|458",20,0,0,0,48.6853146827318,13.5991020417568,5
9,"sorteo_08","42|79|94|298|312|323|444|482|488|496","54|68|99|107|124|134|136|179|199|204|276|281|292|306|372|376|380|458|460|500",20,1,0,0,51.5576169516369,10.5989093333951,4
10,"sorteo_09","242|264|277|327|354|387|399|401|448|499","29|48|50|68|141|150|186|206|213|270|286|288|290|327|341|383|435|462|489|497",20,2,0,0,57.1540231378541,13.3790664592559,6
11,"sorteo_10","66|74|109|131|153|216|347|413|430|468","68|116|130|150|169|192|263|275|297|301|315|328|352|397|403|415|452|458|466|469",20,1,0,0,39.4180723960032,12.4000798666996,7
12,"sorteo_11","33|75|170|171|259|365|414|417|444|453","8|18|46|61|68|134|155|186|210|230|252|255|256|265|318|320|392|418|444|491",20,2,0,0,31.8329568834323,12.4763238693383,3
13,"sorteo_12","43|47|98|177|196|268|409|422|438|461","36|49|70|86|96|133|175|220|230|245|256|271|300|375|376|380|457|475|480|492",20,0,0,0,47.7922182626474,11.757681204253,2
14,"sorteo_13","30|84|91|112|122|131|185|189|211|306","33|37|47|64|71|84|100|109|146|206|218|304|315|317|325|365|367|422|457|492",20,1,0,0,49.025975676235,11.8101425983213,4
15,"sorteo_14","33|106|288|298|305|316|328|387|405|463","16|26|94|127|128|142|152|229|245|263|296|311|323|339|342|375|391|397|416|420",20,1,0,0,39.4180723960032,12.7512269696569,4
16,"sorteo_15","38|78|93|106|113|180|242|252|447|487","37|40|87|115|183|191|196|224|253|257|258|273|293|317|344|368|372|373|402|486",20,0,0,0,33.5548070889432,12.1300245763377,4
17,"sorteo_16","81|109|172|201|243|299|346|419|421|449","32|52|53|72|82|85|110|113|115|128|220|291|350|364|374|378|438|442|476|481",19,0,0,0,18.0665572513674,13.488371792115,4
18,"sorteo_17","78|172|260|263|288|344|354|356|459|485","12|31|106|185|189|222|236|238|256|261|275|316|359|366|380|410|427|429|472|484",20,0,0,0,33.3314899119026,12.1534307940047,3
19,"sorteo_18","32|100|165|207|237|274|330|344|374|410","36|44|46|51|91|216|228|230|265|301|317|325|347|375|381|385|451|462|468|490",20,1,0,0,48.8255295161578,11.6166926703121,1
20,"sorteo_19","27|54|133|151|172|174|194|257|354|481","13|24|42|47|71|120|132|162|182|189|203|232|243|285|335|342|370|439|453|456",20,2,0,0,26.6114956282325,12.473641059657,6
