"center_estimator","phase1","phase2","UCL_rob","center_drift_SD","det_rob","fa_rob","T2_median_healthy","T2_min_faulty"
"mean","IDV 7","IDV 7",19.6928514338751,0.0613997328373689,20,0,2.55867408878327,43.2836451845274
"mean","IDV 7","IDV 1",19.6928514338751,0.0613997328373689,20,0,2.55867408878327,976.489266057219
"mean","IDV 1","IDV 7",19.6928514338751,0.816741425432769,14,6,20.8154107962465,8.43525100399243
"mean","IDV 1","IDV 1",19.6928514338751,0.816741425432769,20,6,20.8154107962465,590.845279250134
"sm","IDV 7","IDV 7",19.6928514338751,0.0620477508403744,20,0,3.42479301305484,45.7040845110661
"sm","IDV 7","IDV 1",19.6928514338751,0.0620477508403744,20,0,3.42479301305484,986.885653103511
"sm","IDV 1","IDV 7",19.6928514338751,0.0610379429637791,20,0,3.13075911724663,35.7637009933482
"sm","IDV 1","IDV 1",19.6928514338751,0.0610379429637791,20,0,3.13075911724663,807.370107213893
"sm_std","IDV 7","IDV 7",19.6928514338751,0.0494919582472649,20,0,3.09613104286406,44.8994183798446
"sm_std","IDV 7","IDV 1",19.6928514338751,0.0494919582472649,20,0,3.09613104286406,983.307274114197
"sm_std","IDV 1","IDV 7",19.6928514338751,0.118631882429979,20,0,3.0287961525706,32.701317732327
"sm_std","IDV 1","IDV 1",19.6928514338751,0.118631882429979,20,0,3.0287961525706,789.771885355014
