"step","variable","acf1","p_ljungbox","independent","n_obs"
1,"xmv_9",0.9902,0,FALSE,960
1,"xmv_8",0.0532,0.4397,TRUE,960
1,"xmeas_19",0.9762,0,FALSE,960
1,"xmeas_17",0.0453,0.3644,TRUE,960
10,"xmv_9",0.8048,0,FALSE,96
10,"xmv_8",0.0409,0.6934,TRUE,96
10,"xmeas_19",0.7773,0,FALSE,96
10,"xmeas_17",0.0485,0.51,TRUE,96
20,"xmv_9",0.4686,0.003,FALSE,48
20,"xmv_8",0.1232,0.827,TRUE,48
20,"xmeas_19",0.4162,0.0115,FALSE,48
20,"xmeas_17",-0.1812,0.4828,TRUE,48
30,"xmv_9",0.0469,0.4371,TRUE,32
30,"xmv_8",-0.1695,0.3145,TRUE,32
30,"xmeas_19",0.0353,0.6856,TRUE,32
30,"xmeas_17",-0.0866,0.9848,TRUE,32
