"variable","mean","sd","cv"
"xmeas_1",0.2504821062,0.030873480817977,0.123256232895637
"xmeas_2",3663.7857056,34.0063574297441,0.00928175394586159
"xmeas_3",4508.8197904,39.2154203881184,0.00869749118641076
"xmeas_4",9.3471008504,0.0857214409091363,0.00917091216636096
"xmeas_5",26.902196256,0.211485423885242,0.00786126983361347
"xmeas_6",42.337598328,0.218513477744885,0.00516121571308807
"xmeas_7",2705.0378652,7.52559578006927,0.00278206670482701
"xmeas_8",75.00008568,0.542025799019571,0.00722700239746675
"xmeas_9",120.4000218,0.0191085055747425,0.000158708489326391
"xmeas_10",0.33705537316,0.0125294550457443,0.0371732838087602
"xmeas_11",80.106814644,0.238583727240424,0.00297831998813966
"xmeas_12",49.99962626,1.00761438246057,0.020152438284657
"xmeas_13",2633.769686,7.86584787214036,0.00298653595792824
"xmeas_14",25.160483332,1.01604759545065,0.0403826739750425
"xmeas_15",50.000127384,1.01599496146997,0.0203198474609304
"xmeas_16",3102.225506,6.51959540956808,0.00210158655357535
"xmeas_17",22.948178288,0.616825619192951,0.0268790668893966
"xmeas_18",65.80101112,0.42552112500939,0.00646678702601356
"xmeas_19",232.16031352,10.3621026904772,0.0446333937672964
"xmeas_20",341.43146696,1.64982844119136,0.00483209253054769
"xmeas_21",94.600229636,0.131288909609375,0.0013878286565957
"xmeas_22",77.294779924,0.260763118082618,0.00337361874034718
"xmeas_23",32.18815232,0.290683626374965,0.00903076459577798
"xmeas_24",8.893459856,0.103864500948291,0.0116787507483062
"xmeas_25",26.38336148,0.31585410522498,0.0119717157900601
"xmeas_26",6.882048796,0.107463595990867,0.0156150587094539
"xmeas_27",18.775613448,0.293834386667283,0.0156497888860501
"xmeas_28",1.656807904,0.0256092159953123,0.0154569615062099
"xmeas_29",32.960680536,0.337253782257823,0.0102320030039875
"xmeas_30",13.822803888,0.108206140261811,0.00782808908659607
"xmeas_31",23.976355176,0.385831518372788,0.016092167284834
"xmeas_32",1.25666062592,0.101753173676044,0.0809710844577078
"xmeas_33",18.577821504,0.334910052447147,0.0180274125453858
"xmeas_34",2.2632963272,0.0265653447156384,0.0117374576171841
"xmeas_35",4.8437858616,0.0662612342836316,0.0136796374110858
"xmeas_36",2.2982539984,0.0533092443450001,0.0231955407810072
"xmeas_37",0.0178793849756784,0.009942730988082,0.556100279825466
"xmeas_38",0.8357052356,0.0184529321623235,0.0220806707631491
"xmeas_39",0.09853184202,0.0100275601358512,0.101769741946119
"xmeas_40",53.7264154,0.505546005809457,0.00940963587549259
"xmeas_41",43.82692004,0.503980144083416,0.0114993283494127
"xmv_1",63.048649756,0.584042096984305,0.009263356142353
"xmv_2",53.973668056,0.469663144531331,0.00870170884150463
"xmv_3",24.63947244,3.03774257223883,0.12328764666679
"xmv_4",61.298501212,1.24380513098931,0.0202909550216837
"xmv_5",22.216644392,0.530156161481853,0.0238630169402521
"xmv_6",40.05545638,1.52675140324569,0.0381159407787452
"xmv_7",38.098897556,2.96526602154335,0.0778307565772692
"xmv_8",46.53429538,2.35130429271801,0.0505284172354436
"xmv_9",47.958590536,2.71651991455336,0.0566430306685976
"xmv_10",41.104304396,0.540817248808007,0.0131571925800704
"xmv_11",18.118706172,1.46367752594508,0.0807826735557417
